AGENTID1,AGENTID2,CLIENTS
A20239,A26126,1
A20243,A23182,1
A20245,A23623,1
A20245,A24095,1
A20245,A6510,1
A20250,A28476,2
A20250,A3288,1
A20250,A6510,2
A20332,A24377,1
A20397,A26543,1
A20402,A26543,1
A20414,A22224,1
A20414,A22721,1
A20414,A24424,1
A20421,A27259,1
A2044,A5062,1
A2044,A5830,1
A20456,A25428,1
A2050,A23714,1
A2050,A24390,1
A20501,A2412,1
A20507,A20734,1
A20524,A21662,1
A20524,A24377,1
A20524,A26824,1
A20564,A25466,1
A20564,A26981,1
A20564,A6098,4
A20616,A6527,1
A20718,A25466,1
A20728,A29054,2
A20728,A6510,1
A20736,A26543,2
A20761,A87,1
A20768,A26932,1
A20788,A21185,1
A20842,A2820,1
A20881,A25330,1
A20883,A6567,1
A20883,A6569,1
A20891,A2420,1
A20892,A23623,1
A20901,A22652,1
A20919,A27532,1
A20920,A223,1
A20920,A22434,2
A20920,A23743,3
A20920,A3375,1
A20920,A9915,1
A20931,A9058,1
A20961,A24377,1
A20963,A24828,1
A20994,A26995,1
A20998,A26931,1
A21022,A26740,1
A21041,A4826,1
A21051,A28210,1
A21051,A30292,1
A21051,A6510,1
A21051,A8556,1
A21053,A30621,1
A21064,A25076,1
A21070,A24505,1
A21099,A4605,1
A21099,A6006,1
A21105,A25840,1
A21110,A23147,1
A21110,A26333,1
A21111,A2420,1
A21122,A6510,1
A21122,A8556,1
A21127,A28788,1
A21128,A25926,1
A21130,A22514,1
A21133,A22079,1
A21168,A6527,1
A21194,A23244,1
A21213,A24095,1
A21213,A8556,1
A21220,A30292,1
A21220,A6510,1
A21235,A21662,1
A21268,A24377,1
A21268,A5692,1
A21269,A25272,1
A21270,A27032,1
A21270,A8409,1
A21299,A25910,1
A21311,A8556,1
A21315,A23254,1
A21334,A30829,1
A21337,A24569,1
A21380,A26434,1
A21380,A26558,1
A21390,A22047,1
A21417,A4798,1
A21419,A24377,1
A21419,A26347,1
A21435,A24492,1
A21451,A24828,1
A21486,A9874,1
A21490,A23528,1
A21533,A3288,1
A21543,A29054,1
A21543,A6135,1
A21553,A22543,1
A21572,A23402,1
A21572,A27588,1
A21572,A2833,1
A21572,A8556,1
A21614,A26756,1
A21622,A25272,1
A21623,A23906,1
A21624,A26799,2
A21625,A23944,1
A21625,A30621,1
A21626,A7004,6
A21627,A25350,1
A21662,A24377,1
A21662,A2820,1
A21662,A4109,1
A21662,A4715,1
A21662,A6098,9
A21662,A7864,1
A21697,A21909,1
A21699,A27186,1
A21738,A5138,1
A21783,A24297,1
A21837,A24555,1
A21837,A6889,1
A21856,A30621,1
A21856,A7004,7
A2186,A2820,2
A21867,A5460,1
A21886,A5176,1
A21890,A22909,2
A21890,A24427,1
A21890,A25272,1
A21890,A26579,1
A21890,A26644,1
A21890,A8409,1
A21890,A8464,2
A21981,A29649,1
A22016,A26696,1
A22021,A27376,1
A22021,A6783,1
A22055,A25637,1
A22055,A9683,1
A22072,A25264,1
A22075,A26266,1
A22079,A8021,1
A22085,A4653,1
A22168,A8464,1
A22181,A22721,1
A22205,A30495,1
A22217,A27252,1
A22224,A912,1
A22231,A22408,2
A22286,A23595,1
A22290,A24828,1
A22290,A25205,1
A22290,A25252,1
A22290,A30292,2
A22290,A6605,1
A22292,A27070,1
A22303,A29054,1
A22328,A6569,1
A22337,A26452,1
A22356,A4685,1
A22362,A22625,1
A22369,A22380,1
A22396,A26111,1
A22396,A30292,1
A22415,A26590,1
A22482,A4430,1
A22507,A22590,1
A22509,A6198,1
A22536,A24518,1
A22540,A28110,1
A22543,A3021,1
A22576,A24861,1
A22601,A9880,1
A22616,A7954,1
A22626,A23531,1
A22653,A4225,1
A22710,A431,1
A22721,A6569,1
A22768,A24241,1
A22794,A26645,1
A22799,A27141,6
A22802,A26686,1
A22805,A25275,1
A22820,A9178,1
A22838,A29418,1
A22844,A5803,2
A22847,A25742,1
A22848,A27852,1
A22848,A5536,2
A22849,A23878,1
A22851,A6274,1
A22867,A26354,1
A22869,A25561,1
A22881,A23100,1
A22881,A3366,1
A22909,A8464,5
A22928,A23623,1
A22935,A2433,1
A22944,A29054,1
A22954,A23195,1
A22956,A25665,1
A2300,A8464,3
A23016,A25758,1
A23016,A26689,1
A23016,A28089,1
A23016,A29196,1
A23017,A23025,1
A23022,A9912,1
A23028,A26352,1
A23029,A8205,1
A23042,A23263,1
A23049,A25177,1
A23054,A25288,1
A23070,A24377,1
A23100,A25076,1
A23100,A25823,1
A23135,A6605,1
A23152,A474,1
A23158,A23886,1
A23159,A26273,1
A23182,A24377,2
A23195,A8762,1
A23213,A23294,1
A23238,A26244,1
A23267,A6569,1
A23278,A23623,2
A23278,A24828,1
A23278,A8556,1
A23294,A24052,1
A23311,A25315,1
A23311,A26543,1
A23361,A9060,1
A23362,A25330,1
A23374,A24676,1
A23378,A2420,1
A23441,A26740,1
A23476,A26678,1
A23514,A26740,1
A23543,A2894,1
A23549,A4632,1
A23580,A24042,2
A23614,A23944,1
A23614,A24390,1
A23614,A24706,1
A23614,A26799,1
A23614,A30621,1
A23620,A26993,1
A23620,A6567,1
A23623,A23755,1
A23623,A26155,1
A23623,A27247,1
A23623,A29054,1
A23623,A30292,1
A23623,A6293,1
A23623,A6605,1
A23623,A8137,1
A23623,A8506,1
A23623,A9647,1
A23644,A24418,1
A23664,A29410,1
A23664,A8250,1
A23676,A26383,1
A23689,A24502,1
A23714,A23944,1
A23745,A9375,1
A23755,A6510,1
A23771,A7345,1
A23788,A9875,1
A23789,A26146,1
A23789,A27791,1
A23790,A28110,1
A23790,A29979,1
A23804,A24008,1
A23826,A25957,2
A23826,A27032,2
A23880,A24924,1
A23880,A26657,1
A23884,A26740,1
A23898,A27883,1
A2392,A24653,1
A2392,A9178,1
A23922,A30351,1
A23922,A30621,1
A23944,A26799,2
A23944,A30351,1
A23944,A30621,4
A23944,A30650,1
A23944,A423,1
A23944,A4833,1
A23944,A8410,1
A24019,A26306,1
A24042,A25835,1
A24060,A26645,1
A24095,A24476,1
A24095,A25252,1
A24095,A25637,1
A24095,A27588,2
A24095,A6510,1
A24095,A6605,1
A2413,A25076,1
A24158,A9874,1
A2419,A8768,1
A24192,A26829,1
A24241,A24492,1
A24241,A8763,1
A24300,A26813,1
A24377,A24518,1
A24377,A24887,1
A24377,A25288,1
A24377,A25751,1
A24377,A26740,3
A24377,A27131,1
A24377,A2820,1
A24377,A30873,1
A24377,A4736,1
A24377,A5889,1
A24424,A26993,2
A24427,A26644,1
A24427,A3206,1
A24427,A8464,3
A24427,A9060,2
A24428,A6569,1
A24457,A4647,1
A24492,A26333,1
A24492,A4845,1
A24492,A9572,1
A24493,A8506,1
A24494,A27198,1
A24518,A25393,1
A24523,A6392,1
A24555,A26579,1
A24555,A8464,1
A24589,A28245,1
A24589,A30714,1
A24616,A9326,1
A2466,A5176,1
A24698,A27216,1
A24706,A30351,1
A24804,A26434,1
A24820,A30626,1
A24828,A27247,1
A24828,A3612,1
A24828,A9062,1
A24860,A29469,1
A24861,A7345,1
A24861,A7728,1
A24887,A5553,1
A24918,A30621,1
A24975,A30351,1
A24975,A30621,3
A24986,A28415,1
A25053,A28861,1
A25085,A3432,1
A25131,A27625,1
A25187,A26267,1
A25187,A6839,1
A25252,A30292,1
A25252,A6008,1
A25252,A9317,1
A25272,A2820,1
A25272,A4254,1
A25272,A8464,3
A25272,A9060,2
A25288,A27625,1
